670,1695
729,1691
958,1684
1042,1680
662,1599
718,1594
792,1584
856,1577
946,1576
1027,1569
535,1520
586,1511
652,1505
711,1493
778,1484
848,1473
926,1459
526,1435
575,1423
641,1410
701,1399
768,1387
839,1370
915,1354
519,1346
569,1333
632,1317
690,1299
757,1282
828,1266
510,1261
903,1246
562,1242
986,1223
620,1221
680,1205
745,1185
502,1167
817,1160
553,1150
892,1139
610,1133
973,1116
671,1111
493,1087
733,1086
544,1063
806,1061
600,1039
880,1033
661,1013
960,1002
485,994
724,987
536,972
796,958
591,948
868,930
476,915
651,920
949,899
714,891
527,888
580,860
785,858
856,824
641,827
519,803
702,796
569,773
777,759
634,737
845,724
691,704
764,663
833,623
